Compound::DB00514	Compound:Gene	Gene::1136
Compound::DB00686	Compound:Gene	Gene::2246
Compound::DB01209	Compound:Gene	Gene::4988
Compound::DB01588	Compound:Gene	Gene::2560
Compound::DB00175	Compound:Gene	Gene::1577
Compound::DB00813	Compound:Gene	Gene::100861540
Compound::DB00869	Compound:Gene	Gene::765
Compound::DB00172	Compound:Gene	Gene::11212
Compound::DB01250	Compound:Gene	Gene::240
Compound::DB00313	Compound:Gene	Gene::5742
Compound::DB00217	Compound:Gene	Gene::3758
Compound::DB06262	Compound:Gene	Gene::6530
Compound::DB01115	Compound:Gene	Gene::8912
Compound::DB00213	Compound:Gene	Gene::1544
Compound::DB00203	Compound:Gene	Gene::1576
Compound::DB00150	Compound:Gene	Gene::10352
Compound::DB00909	Compound:Gene	Gene::6328
Compound::DB00847	Compound:Gene	Gene::4887
Compound::DB00451	Compound:Gene	Gene::353189
Compound::DB00575	Compound:Gene	Gene::148
Compound::DB01218	Compound:Gene	Gene::1558
Compound::DB06716	Compound:Gene	Gene::213
Compound::DB01364	Compound:Gene	Gene::6571
Compound::DB01559	Compound:Gene	Gene::2561
Compound::DB00502	Compound:Gene	Gene::1815
Compound::DB00715	Compound:Gene	Gene::1132
Compound::DB01133	Compound:Gene	Gene::5770
Compound::DB00390	Compound:Gene	Gene::480
Compound::DB01086	Compound:Gene	Gene::6332
Compound::DB00334	Compound:Gene	Gene::147
Compound::DB00975	Compound:Gene	Gene::5147
Compound::DB01332	Compound:Gene	Gene::6564
Compound::DB00381	Compound:Gene	Gene::1558
Compound::DB00536	Compound:Gene	Gene::9132
Compound::DB01065	Compound:Gene	Gene::1588
Compound::DB00594	Compound:Gene	Gene::6339
Compound::DB00194	Compound:Gene	Gene::135
Compound::DB01236	Compound:Gene	Gene::2559
Compound::DB00907	Compound:Gene	Gene::6336
Compound::DB00289	Compound:Gene	Gene::6532
Compound::DB00619	Compound:Gene	Gene::147746
Compound::DB00323	Compound:Gene	Gene::1312
Compound::DB00568	Compound:Gene	Gene::8913
Compound::DB00655	Compound:Gene	Gene::1559
Compound::DB01032	Compound:Gene	Gene::56606
Compound::DB00316	Compound:Gene	Gene::1268
Compound::DB01233	Compound:Gene	Gene::1585
Compound::DB04855	Compound:Gene	Gene::5243
Compound::DB00917	Compound:Gene	Gene::1583
Compound::DB04877	Compound:Gene	Gene::5243
Compound::DB08877	Compound:Gene	Gene::659
Compound::DB06287	Compound:Gene	Gene::2280
Compound::DB00215	Compound:Gene	Gene::1128
Compound::DB01144	Compound:Gene	Gene::768
Compound::DB00115	Compound:Gene	Gene::166785
Compound::DB01268	Compound:Gene	Gene::11329
Compound::DB00327	Compound:Gene	Gene::1559
Compound::DB01015	Compound:Gene	Gene::54600
Compound::DB00673	Compound:Gene	Gene::100861540
Compound::DB01296	Compound:Gene	Gene::7124
Compound::DB06616	Compound:Gene	Gene::11200
Compound::DB00738	Compound:Gene	Gene::1565
Compound::DB00440	Compound:Gene	Gene::5243
Compound::DB01151	Compound:Gene	Gene::3358
Compound::DB01110	Compound:Gene	Gene::10242
Compound::DB00703	Compound:Gene	Gene::1571
Compound::DB00300	Compound:Gene	Gene::1544
Compound::DB00751	Compound:Gene	Gene::5243
Compound::DB01254	Compound:Gene	Gene::695
Compound::DB00492	Compound:Gene	Gene::1636
Compound::DB00404	Compound:Gene	Gene::2562
Compound::DB01242	Compound:Gene	Gene::1576
Compound::DB00233	Compound:Gene	Gene::4353
Compound::DB08795	Compound:Gene	Gene::6564
Compound::DB00255	Compound:Gene	Gene::1548
Compound::DB01087	Compound:Gene	Gene::1543
Compound::DB00471	Compound:Gene	Gene::5742
Compound::DB00371	Compound:Gene	Gene::1557
Compound::DB00130	Compound:Gene	Gene::343641
Compound::DB00619	Compound:Gene	Gene::759
